"ref_id"	"ref_name"	"ref_description"	"ref_ncbi_accession"	"ref_ncbi_query"	"ref_ncbi_query_max"	"ref_primary_usage"	"ref_contextual_usage"	"ref_color_by"
"GCF_000002765_6"	"GCF_000002765.6"	"Plasmodium falciparum (GCF_000002765.6)"	"GCF_000002765.6"	"null"	"30"	"exclusive"	"exclusive"	"null"	"TRUE"
"GCF_014131735_1"	"Lactiplantibacillus plantarum"	"Lactiplantibacillus plantarum (GCF_014131735.1; T; RS)"	"GCF_014131735.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_900637025_1"	"Streptococcus oralis ATCC 35037"	"Streptococcus oralis (GCF_900637025.1; T; RS)"	"GCF_900637025.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_014397255_1"	"Weissella diestrammenae"	"Weissella diestrammenae (GCF_014397255.1; T; RS)"	"GCF_014397255.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_019703835_1"	"Thaumasiovibrio subtropicus"	"Thaumasiovibrio subtropicus (GCF_019703835.1; T; RS)"	"GCF_019703835.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002982135_1"	"Pediococcus inopinatus"	"Pediococcus inopinatus (GCF_002982135.1; T; RS)"	"GCF_002982135.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_001832905_1"	"Floricoccus tropicus"	"Floricoccus tropicus (GCF_001832905.1; T; RS)"	"GCF_001832905.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_027627435_1"	"Kitasatospora cathayae"	"Kitasatospora cathayae (GCF_027627435.1; T; RS)"	"GCF_027627435.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_016127815_1"	"Pediococcus acidilactici"	"Pediococcus acidilactici (GCF_016127815.1; T; RS)"	"GCF_016127815.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_003627095_1"	"Lactococcus allomyrinae"	"Lactococcus allomyrinae (GCF_003627095.1; T; RS)"	"GCF_003627095.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_020735385_1"	"Granulicatella elegans"	"Granulicatella elegans (GCF_020735385.1; T; RS)"	"GCF_020735385.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_947539765_1"	"Lactiplantibacillus carotarum"	"Lactiplantibacillus carotarum (GCF_947539765.1; T; RS)"	"GCF_947539765.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000621645_1"	"Vibrio cholerae ATCC 14035"	"Vibrio cholerae (GCF_000621645.1; T; RS)"	"GCF_000621645.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_900475715_1"	"Streptococcus gallolyticus"	"Streptococcus gallolyticus (GCF_900475715.1; T; RS)"	"GCF_900475715.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_029023865_1"	"Lactococcus lactis"	"Lactococcus lactis (GCF_029023865.1; T; RS)"	"GCF_029023865.1"	"null"	"null"	"optional"	"optional"	"null"
